delta_lpd_total,delta_lpd_total_data,delta_lpd_total_sel,label,log_alpha_mu_minus_gr_p50,n_events,wins_data_gr,wins_data_mu,wins_total_gr,wins_total_mu,det_model_alpha,inj,log_alpha_mu_minus_gr_p16,log_alpha_mu_minus_gr_p84
-7.318857338112593,-19.65050566516493,12.331648327052335,ghost_simulation,-0.37368631294097876,33,33,0,25,8,,,,
5.506433841834792,-0.7137219007693147,6.220155742604106,ghost_simulation_weakdata,-0.18848956795769822,33,27,6,1,32,,,,
2.3930244005370014,-2.6554118834105793,5.048436283947581,real_inj_bbhpop_o3a,-0.2530081630800811,33,32,1,8,25,snr_mchirp_binned,/home/primary/Dark_Siren_Ladder_Audit/data/cache/gw/zenodo/11254021/extracted/GWTC-3-population-data/injections/o3a_bbhpop_inj_info.hdf,-0.35264529030127245,-0.13045048993237332
2.4938391520310006,-2.6554118834104656,5.149251035441466,real_inj_o3_full,-0.25796705438895756,33,32,1,8,25,snr_mchirp_binned,/home/primary/Dark_Siren_Ladder_Audit/data/cache/gw/zenodo/7890437/endo3_mixture-LIGO-T2100113-v12.hdf5,-0.3572863960372131,-0.1344843111587085
2.687753975569308,-2.655411883410352,5.34316585897966,real_inj_o3a_sens,-0.2627111375451732,33,32,1,8,25,snr_mchirp_binned,/home/primary/Dark_Siren_Ladder_Audit/data/cache/gw/zenodo/7890437/endo3_mixture-LIGO-T2100113-v12-1238166018-15843600.hdf5,-0.3637277600724748,-0.1375476971080847
2.214465213499352,-2.6554118834105793,4.869877096909931,real_inj_o3b,-0.2501967627255897,33,32,1,8,25,snr_mchirp_binned,/home/primary/Dark_Siren_Ladder_Audit/data/cache/gw/zenodo/7890437/endo3_mixture-LIGO-T2100113-v12-1256655642-12905976.hdf5,-0.34612171348654436,-0.13000629394046948
2.46034085598842,-2.62397625677238,5.0843171127608,real_lvk_draw00,-0.24918683181161183,33,32,1,6,27,snr_mchirp_binned,/home/primary/Dark_Siren_Ladder_Audit/data/cache/gw/zenodo/7890437/endo3_mixture-LIGO-T2100113-v12-1256655642-12905976.hdf5,-0.34503907136207124,-0.12886433217861604
2.611538752752267,-2.602523023321737,5.214061776074004,real_lvk_draw01,-0.2487044001666171,33,33,0,5,28,snr_mchirp_binned,/home/primary/Dark_Siren_Ladder_Audit/data/cache/gw/zenodo/7890437/endo3_mixture-LIGO-T2100113-v12-1256655642-12905976.hdf5,-0.345838479222815,-0.12783937473682538
2.4480990439874404,-2.4579740887257913,4.906073132713232,real_lvk_draw02,-0.2516940092270072,33,31,2,7,26,snr_mchirp_binned,/home/primary/Dark_Siren_Ladder_Audit/data/cache/gw/zenodo/7890437/endo3_mixture-LIGO-T2100113-v12-1256655642-12905976.hdf5,-0.3529570524595972,-0.13041711434045034
2.2805099371496453,-2.639782666338192,4.920292603487837,real_lvk_draw03,-0.25046407458835807,33,32,1,5,28,snr_mchirp_binned,/home/primary/Dark_Siren_Ladder_Audit/data/cache/gw/zenodo/7890437/endo3_mixture-LIGO-T2100113-v12-1256655642-12905976.hdf5,-0.3493166626569457,-0.1285364994987887
2.6584029888244913,-2.4527015287509357,5.111104517575427,real_lvk_draw04,-0.250152209522007,33,32,1,8,25,snr_mchirp_binned,/home/primary/Dark_Siren_Ladder_Audit/data/cache/gw/zenodo/7890437/endo3_mixture-LIGO-T2100113-v12-1256655642-12905976.hdf5,-0.3505443127150159,-0.12971213032934448
