out_dir,json_path,selection_mode,det_model,weight_mode,pop_z_mode,pop_mass_mode,n_events,H0_min,H0_max,H0_n,H0_map,H0_edge,slope_event,slope_sel,slope_total,delta_event,delta_sel,delta_total,exp_event_per_event
outputs/gate2_calibration_combo_20260202_225949UTC/gate2_real_min,outputs/gate2_calibration_combo_20260202_225949UTC/gate2_real_min/json/gr_h0_selection_off.json,off,,,none,none,33,40.0,100.0,121,100.0,high,27.52040537977786,,27.52040537977786,25.26831954878618,,25.26831954878618,0.8356590614284242
outputs/gate2_calibration_combo_20260202_225949UTC/gate2_real_min,outputs/gate2_calibration_combo_20260202_225949UTC/gate2_real_min/json/gr_h0_selection_on_inv_sampling_pdf.json,on,snr_binned,inv_sampling_pdf,none,none,33,40.0,100.0,121,100.0,high,27.52040537977786,-25.3789876403355,2.1414177394423617,25.26831954878618,-23.4214815931161,1.8468379556700825,0.8356590614284242
outputs/gate2_calibration_combo_20260202_225949UTC/gate2_real_min,outputs/gate2_calibration_combo_20260202_225949UTC/gate2_real_min/json/gr_h0_selection_on_none.json,on,snr_binned,none,none,none,33,40.0,100.0,121,40.0,low,27.52040537977786,-79.6343858428823,-52.11398046310443,25.26831954878618,-71.45998949514876,-46.191669946362566,0.8356590614284242
outputs/gate2_calibration_combo_20260202_225949UTC/gate2_real_pop,outputs/gate2_calibration_combo_20260202_225949UTC/gate2_real_pop/json/gr_h0_selection_off.json,off,,,comoving_uniform,powerlaw_peak_q_smooth,33,40.0,100.0,121,100.0,high,75.10422401368888,,75.10422401368888,69.4807810456562,,69.4807810456562,2.2978276875050856
outputs/gate2_calibration_combo_20260202_225949UTC/gate2_real_pop,outputs/gate2_calibration_combo_20260202_225949UTC/gate2_real_pop/json/gr_h0_selection_on_inv_sampling_pdf.json,on,snr_binned,inv_sampling_pdf,comoving_uniform,powerlaw_peak_q_smooth,33,40.0,100.0,121,56.5,interior,75.10422401368888,-76.42992633064857,-1.3257023169596818,69.4807810456562,-68.36733383574787,1.1134472099083368,2.2978276875050856
outputs/gate2_calibration_combo_20260202_225949UTC/gate2_real_pop,outputs/gate2_calibration_combo_20260202_225949UTC/gate2_real_pop/json/gr_h0_selection_on_none.json,on,snr_binned,none,comoving_uniform,powerlaw_peak_q_smooth,33,40.0,100.0,121,40.0,low,75.10422401368888,-122.4530587013791,-47.34883468769022,69.4807810456562,-109.98406602156896,-40.50328497591276,2.2978276875050856
outputs/gate2_lvk_hyper_popmarg_20260203_104636UTC,outputs/gate2_lvk_hyper_popmarg_20260203_104636UTC/json/gr_h0_selection_on_lvk_0000.json,on,snr_mchirp_binned,inv_sampling_pdf,comoving_powerlaw,powerlaw_peak_q_smooth,33,40.0,200.0,161,200.0,high,65.53358313423503,-22.08169361697178,43.451889517263254,110.24356661440383,-50.53372118750238,59.70984542690145,2.0757024014539036
outputs/gate2_lvk_hyper_popmarg_20260203_104636UTC,outputs/gate2_lvk_hyper_popmarg_20260203_104636UTC/json/gr_h0_selection_on_lvk_0001.json,on,snr_mchirp_binned,inv_sampling_pdf,comoving_powerlaw,powerlaw_peak_q_smooth,33,40.0,200.0,161,200.0,high,54.81760500710445,-20.630996019975754,34.18660898712869,94.06963893094304,-49.31394793609167,44.75569099485137,1.7711743317940551
outputs/gate2_lvk_hyper_popmarg_20260203_104636UTC,outputs/gate2_lvk_hyper_popmarg_20260203_104636UTC/json/gr_h0_selection_on_lvk_0002.json,on,snr_mchirp_binned,inv_sampling_pdf,comoving_powerlaw,powerlaw_peak_q_smooth,33,40.0,200.0,161,200.0,high,50.975456104393125,-19.59899982408521,31.37645628030791,89.24459762463871,-49.124450671460025,40.12014695317869,1.680326855300115
outputs/gate2_lvk_hyper_popmarg_20260203_104636UTC,outputs/gate2_lvk_hyper_popmarg_20260203_104636UTC/json/gr_h0_selection_on_lvk_0003.json,on,snr_mchirp_binned,inv_sampling_pdf,comoving_powerlaw,powerlaw_peak_q_smooth,33,40.0,200.0,161,200.0,high,56.39549478635713,-22.616631441363335,33.778863344993795,95.33108876488149,-50.70928671307838,44.621802051803115,1.794925327249218
outputs/gate2_lvk_hyper_popmarg_20260203_104636UTC,outputs/gate2_lvk_hyper_popmarg_20260203_104636UTC/json/gr_h0_selection_on_lvk_0004.json,on,snr_mchirp_binned,inv_sampling_pdf,comoving_powerlaw,powerlaw_peak_q_smooth,33,40.0,200.0,161,200.0,high,64.26034453425345,-22.0993215540843,42.161022980169136,107.93889062405532,-50.839759502328334,57.09913112172698,2.032309198252561
outputs/gate2_lvk_hyper_popmarg_20260203_104636UTC,outputs/gate2_lvk_hyper_popmarg_20260203_104636UTC/json/gr_h0_selection_on_lvk_0005.json,on,snr_mchirp_binned,inv_sampling_pdf,comoving_powerlaw,powerlaw_peak_q_smooth,33,40.0,200.0,161,200.0,high,56.828579877099024,-22.182674591744878,34.64590528535415,96.50270779208041,-50.93903230338656,45.56367548869385,1.8169849585096252
outputs/gate2_lvk_hyper_popmarg_20260203_104636UTC,outputs/gate2_lvk_hyper_popmarg_20260203_104636UTC/json/gr_h0_selection_on_lvk_0006.json,on,snr_mchirp_binned,inv_sampling_pdf,comoving_powerlaw,powerlaw_peak_q_smooth,33,40.0,200.0,161,200.0,high,60.457264553481885,-22.343566172859195,38.11369838062269,101.99614186961077,-51.42866075946683,50.56748111014392,1.9204171555723484
outputs/gate2_lvk_hyper_popmarg_20260203_104636UTC,outputs/gate2_lvk_hyper_popmarg_20260203_104636UTC/json/gr_h0_selection_on_lvk_0007.json,on,snr_mchirp_binned,inv_sampling_pdf,comoving_powerlaw,powerlaw_peak_q_smooth,33,40.0,200.0,161,200.0,high,56.943732274236,-22.849840859925045,34.093891414310946,95.77859065544797,-50.05007033643444,45.728520319013526,1.8033510411246856
outputs/gate2_lvk_hyper_popmarg_20260203_104636UTC,outputs/gate2_lvk_hyper_popmarg_20260203_104636UTC/json/gr_h0_selection_on_lvk_0008.json,on,snr_mchirp_binned,inv_sampling_pdf,comoving_powerlaw,powerlaw_peak_q_smooth,33,40.0,200.0,161,200.0,high,64.30519635961942,-22.85406107008879,41.45113528953064,107.09960708095309,-51.399823455291674,55.69978362566144,2.0165068896061857
outputs/gate2_lvk_hyper_popmarg_20260203_104636UTC,outputs/gate2_lvk_hyper_popmarg_20260203_104636UTC/json/gr_h0_selection_on_lvk_0009.json,on,snr_mchirp_binned,inv_sampling_pdf,comoving_powerlaw,powerlaw_peak_q_smooth,33,40.0,200.0,161,200.0,high,51.650483365557214,-18.314290078691208,33.336193286866,91.3126066086978,-46.65556209902498,44.65704450967283,1.7192640136873587
outputs/gate2_lvk_hyper_popmarg_20260203_104636UTC,outputs/gate2_lvk_hyper_popmarg_20260203_104636UTC/json/gr_h0_selection_on_lvk_0010.json,on,snr_mchirp_binned,inv_sampling_pdf,comoving_powerlaw,powerlaw_peak_q_smooth,33,40.0,200.0,161,200.0,high,54.71304296463649,-20.10764967928258,34.60539328535392,95.56622727183887,-50.61971993810548,44.94650733373339,1.7993525929714245
outputs/gate2_lvk_hyper_popmarg_20260203_104636UTC,outputs/gate2_lvk_hyper_popmarg_20260203_104636UTC/json/gr_h0_selection_on_lvk_0011.json,on,snr_mchirp_binned,inv_sampling_pdf,comoving_powerlaw,powerlaw_peak_q_smooth,33,40.0,200.0,161,200.0,high,55.56002796584841,-19.20391019305012,36.3561177727983,97.1310230857681,-47.87759082019196,49.25343226557615,1.8288150870516329
outputs/gate2_lvk_hyper_popmarg_20260203_104636UTC,outputs/gate2_lvk_hyper_popmarg_20260203_104636UTC/json/gr_h0_selection_on_lvk_0012.json,on,snr_mchirp_binned,inv_sampling_pdf,comoving_powerlaw,powerlaw_peak_q_smooth,33,40.0,200.0,161,200.0,high,63.49573484088735,-21.27011352039454,42.22562132049281,107.59488744048312,-49.6422339831906,57.95265345729251,2.025832192326709
outputs/gate2_lvk_hyper_popmarg_20260203_104636UTC,outputs/gate2_lvk_hyper_popmarg_20260203_104636UTC/json/gr_h0_selection_on_lvk_0013.json,on,snr_mchirp_binned,inv_sampling_pdf,comoving_powerlaw,powerlaw_peak_q_smooth,33,40.0,200.0,161,200.0,high,63.14649175402703,-21.90742864915479,41.23906310487224,106.48729727629785,-50.58435363635851,55.90294363993934,2.0049781177151047
outputs/gate2_lvk_hyper_popmarg_20260203_104636UTC,outputs/gate2_lvk_hyper_popmarg_20260203_104636UTC/json/gr_h0_selection_on_lvk_0014.json,on,snr_mchirp_binned,inv_sampling_pdf,comoving_powerlaw,powerlaw_peak_q_smooth,33,40.0,200.0,161,200.0,high,54.60187027901157,-20.562369407378604,34.03950087163297,94.51267291790691,-49.213573685845766,45.29909923206114,1.7795159225000514
