timestamp_utc,timestamp_iso,out_dir,json_path,manifest_path,selection_mode,weight_mode,det_model,omega_m0,omega_k0,z_max,H0_min,H0_max,H0_n,H0_step,n_events,n_events_skipped,gate2_pass,H0_map,H0_map_at_edge,p16,p50,p84,mean,sd,pop_z_mode,pop_z_k,pop_mass_mode,pop_m1_alpha,pop_m_min,pop_m_max,pop_q_beta,pop_m_taper_delta,pop_m_peak,pop_m_peak_sigma,pop_m_peak_frac,selection_include_h0_volume_scaling,pop_z_include_h0_volume_scaling,include_pdet_in_event_term,importance_smoothing,importance_truncate_tau,event_qc_mode,event_min_finite_frac,params_json
20260202_051402UTC,2026-02-02T05:14:02+00:00,outputs/_tmp_gate2_eventsfromcache_smoke,outputs/_tmp_gate2_eventsfromcache_smoke/json/gr_h0_selection_off.json,outputs/_tmp_gate2_eventsfromcache_smoke/json/manifest.json,off,,,0.31,0.0,2.0,40.0,60.0,11,2.0,3,0,False,60.0,False,44.173903322400676,52.328089755361894,57.86216101475113,52.33218520797505,6.003754767613716,none,0.0,powerlaw_q,2.3,2.0,200.0,0.0,,,,,False,False,False,,,skip,,"{""H0_max"": 60.0, ""H0_min"": 40.0, ""H0_n"": 11, ""det_model"": null, ""event_qc_mode"": ""skip"", ""method"": ""gr_h0_grid_hierarchical_pe"", ""n_events"": 3, ""n_events_skipped"": 0, ""omega_k0"": 0.0, ""omega_m0"": 0.31, ""population"": {""pop_m1_alpha"": 2.3, ""pop_m_max"": 200.0, ""pop_m_min"": 2.0, ""pop_mass_mode"": ""powerlaw_q"", ""pop_q_beta"": 0.0, ""pop_z_k"": 0.0, ""pop_z_mode"": ""none""}, ""prior"": ""uniform"", ""selection_ifar_threshold_yr"": 1.0, ""selection_mode"": ""off"", ""weight_mode"": null, ""z_max"": 2.0}"
20260202_051402UTC,2026-02-02T05:14:02+00:00,outputs/_tmp_gate2_eventsfromcache_smoke,outputs/_tmp_gate2_eventsfromcache_smoke/json/gr_h0_selection_on_inv_sampling_pdf.json,outputs/_tmp_gate2_eventsfromcache_smoke/json/manifest.json,on,inv_sampling_pdf,snr_binned,0.31,0.0,2.0,40.0,60.0,11,2.0,3,0,False,60.0,False,41.82324904332111,49.52066186611484,56.73323218318392,50.34661426375819,6.311287813331586,none,0.0,powerlaw_q,2.3,2.0,200.0,0.0,,,,,False,False,False,,,skip,,"{""H0_max"": 60.0, ""H0_min"": 40.0, ""H0_n"": 11, ""det_model"": ""snr_binned"", ""event_qc_mode"": ""skip"", ""method"": ""gr_h0_grid_hierarchical_pe"", ""n_events"": 3, ""n_events_skipped"": 0, ""omega_k0"": 0.0, ""omega_m0"": 0.31, ""population"": {""pop_m1_alpha"": 2.3, ""pop_m_max"": 200.0, ""pop_m_min"": 2.0, ""pop_mass_mode"": ""powerlaw_q"", ""pop_q_beta"": 0.0, ""pop_z_k"": 0.0, ""pop_z_mode"": ""none""}, ""prior"": ""uniform"", ""selection_alpha"": {""det_model"": ""snr_binned"", ""method"": ""o3a_injections_snr_rescale_gr_h0_grid"", ""n_injections_used"": 293654, ""pop_m1_alpha"": 2.3, ""pop_m_max"": 200.0, ""pop_m_min"": 2.0, ""pop_mass_mode"": ""powerlaw_q"", ""pop_q_beta"": 0.0, ""pop_z_k"": 0.0, ""pop_z_mode"": ""none"", ""snr_binned_nbins"": 200, ""snr_threshold"": null, ""weight_mode"": ""inv_sampling_pdf"", ""z_max"": 2.0}, ""selection_ifar_threshold_yr"": 1.0, ""selection_mode"": ""on"", ""weight_mode"": ""inv_sampling_pdf"", ""z_max"": 2.0}"
20260202_230245UTC,2026-02-02T23:02:45+00:00,outputs/gate2_calibration_combo_20260202_225949UTC/gate2_real_min,outputs/gate2_calibration_combo_20260202_225949UTC/gate2_real_min/json/gr_h0_selection_off.json,outputs/gate2_calibration_combo_20260202_225949UTC/gate2_real_min/json/manifest.json,off,,,0.31,0.0,2.0,40.0,100.0,121,0.5,33,0,False,100.0,True,93.63209893025986,97.54026602217873,99.36950051556221,96.7825066419587,3.3362103910639473,none,0.0,none,2.3,5.0,200.0,0.0,0.0,35.0,5.0,0.1,False,False,False,,,skip,0.0,"{""H0_max"": 100.0, ""H0_min"": 40.0, ""H0_n"": 121, ""det_model"": null, ""event_min_finite_frac"": 0.0, ""event_qc_mode"": ""skip"", ""include_pdet_in_event_term"": false, ""method"": ""gr_h0_grid_hierarchical_pe"", ""n_events"": 33, ""n_events_skipped"": 0, ""omega_k0"": 0.0, ""omega_m0"": 0.31, ""pop_z_include_h0_volume_scaling"": false, ""population"": {""pop_m1_alpha"": 2.3, ""pop_m_max"": 200.0, ""pop_m_min"": 5.0, ""pop_m_peak"": 35.0, ""pop_m_peak_frac"": 0.1, ""pop_m_peak_sigma"": 5.0, ""pop_m_taper_delta"": 0.0, ""pop_mass_mode"": ""none"", ""pop_q_beta"": 0.0, ""pop_z_k"": 0.0, ""pop_z_mode"": ""none""}, ""prior"": ""uniform"", ""selection_ifar_threshold_yr"": 1.0, ""selection_mode"": ""off"", ""weight_mode"": null, ""z_max"": 2.0}"
20260202_230245UTC,2026-02-02T23:02:45+00:00,outputs/gate2_calibration_combo_20260202_225949UTC/gate2_real_min,outputs/gate2_calibration_combo_20260202_225949UTC/gate2_real_min/json/gr_h0_selection_on_inv_sampling_pdf.json,outputs/gate2_calibration_combo_20260202_225949UTC/gate2_real_min/json/manifest.json,on,inv_sampling_pdf,snr_binned,0.31,0.0,2.0,40.0,100.0,121,0.5,33,0,False,100.0,True,60.80982778098917,83.70135389501384,95.85175404945055,79.84842345075936,16.172364988459837,none,0.0,none,2.3,5.0,200.0,0.0,0.0,35.0,5.0,0.1,False,False,False,,,skip,0.0,"{""H0_max"": 100.0, ""H0_min"": 40.0, ""H0_n"": 121, ""det_model"": ""snr_binned"", ""event_min_finite_frac"": 0.0, ""event_qc_mode"": ""skip"", ""include_pdet_in_event_term"": false, ""method"": ""gr_h0_grid_hierarchical_pe"", ""n_events"": 33, ""n_events_skipped"": 0, ""omega_k0"": 0.0, ""omega_m0"": 0.31, ""pop_z_include_h0_volume_scaling"": false, ""population"": {""pop_m1_alpha"": 2.3, ""pop_m_max"": 200.0, ""pop_m_min"": 5.0, ""pop_m_peak"": 35.0, ""pop_m_peak_frac"": 0.1, ""pop_m_peak_sigma"": 5.0, ""pop_m_taper_delta"": 0.0, ""pop_mass_mode"": ""none"", ""pop_q_beta"": 0.0, ""pop_z_k"": 0.0, ""pop_z_mode"": ""none""}, ""prior"": ""uniform"", ""selection_alpha"": {""det_model"": ""snr_binned"", ""inj_mass_pdf_coords"": ""m1m2"", ""method"": ""o3a_injections_snr_rescale_gr_h0_grid"", ""n_injections_used"": 512308, ""pop_m1_alpha"": 2.3, ""pop_m_max"": 200.0, ""pop_m_min"": 5.0, ""pop_m_peak"": 35.0, ""pop_m_peak_frac"": 0.1, ""pop_m_peak_sigma"": 5.0, ""pop_m_taper_delta"": 0.0, ""pop_mass_mode"": ""none"", ""pop_q_beta"": 0.0, ""pop_z_k"": 0.0, ""pop_z_mode"": ""none"", ""snr_binned_nbins"": 200, ""snr_threshold"": null, ""weight_mode"": ""inv_sampling_pdf"", ""z_max"": 2.0}, ""selection_ifar_threshold_yr"": 1.0, ""selection_mode"": ""on"", ""weight_mode"": ""inv_sampling_pdf"", ""z_max"": 2.0}"
20260202_230245UTC,2026-02-02T23:02:45+00:00,outputs/gate2_calibration_combo_20260202_225949UTC/gate2_real_min,outputs/gate2_calibration_combo_20260202_225949UTC/gate2_real_min/json/gr_h0_selection_on_none.json,outputs/gate2_calibration_combo_20260202_225949UTC/gate2_real_min/json/manifest.json,on,none,snr_binned,0.31,0.0,2.0,40.0,100.0,121,0.5,33,0,False,40.0,True,40.0,40.00147239037221,40.872857024492326,40.509621906419845,0.7295908623071141,none,0.0,none,2.3,5.0,200.0,0.0,0.0,35.0,5.0,0.1,False,False,False,,,skip,0.0,"{""H0_max"": 100.0, ""H0_min"": 40.0, ""H0_n"": 121, ""det_model"": ""snr_binned"", ""event_min_finite_frac"": 0.0, ""event_qc_mode"": ""skip"", ""include_pdet_in_event_term"": false, ""method"": ""gr_h0_grid_hierarchical_pe"", ""n_events"": 33, ""n_events_skipped"": 0, ""omega_k0"": 0.0, ""omega_m0"": 0.31, ""pop_z_include_h0_volume_scaling"": false, ""population"": {""pop_m1_alpha"": 2.3, ""pop_m_max"": 200.0, ""pop_m_min"": 5.0, ""pop_m_peak"": 35.0, ""pop_m_peak_frac"": 0.1, ""pop_m_peak_sigma"": 5.0, ""pop_m_taper_delta"": 0.0, ""pop_mass_mode"": ""none"", ""pop_q_beta"": 0.0, ""pop_z_k"": 0.0, ""pop_z_mode"": ""none""}, ""prior"": ""uniform"", ""selection_alpha"": {""det_model"": ""snr_binned"", ""inj_mass_pdf_coords"": ""m1m2"", ""method"": ""o3a_injections_snr_rescale_gr_h0_grid"", ""n_injections_used"": 512308, ""pop_m1_alpha"": 2.3, ""pop_m_max"": 200.0, ""pop_m_min"": 5.0, ""pop_m_peak"": 35.0, ""pop_m_peak_frac"": 0.1, ""pop_m_peak_sigma"": 5.0, ""pop_m_taper_delta"": 0.0, ""pop_mass_mode"": ""none"", ""pop_q_beta"": 0.0, ""pop_z_k"": 0.0, ""pop_z_mode"": ""none"", ""snr_binned_nbins"": 200, ""snr_threshold"": null, ""weight_mode"": ""none"", ""z_max"": 2.0}, ""selection_ifar_threshold_yr"": 1.0, ""selection_mode"": ""on"", ""weight_mode"": ""none"", ""z_max"": 2.0}"
20260202_230310UTC,2026-02-02T23:03:10+00:00,outputs/gate2_calibration_combo_20260202_225949UTC/gate2_real_pop,outputs/gate2_calibration_combo_20260202_225949UTC/gate2_real_pop/json/gr_h0_selection_off.json,outputs/gate2_calibration_combo_20260202_225949UTC/gate2_real_pop/json/manifest.json,off,,,0.31,0.0,2.0,40.0,100.0,121,0.5,33,0,False,100.0,True,96.96130827729102,98.81674198210834,99.68710230785882,98.58544025277003,1.600755995794408,comoving_uniform,0.0,powerlaw_peak_q_smooth,2.3,5.0,80.0,0.0,3.0,35.0,5.0,0.1,False,False,False,,,skip,0.0,"{""H0_max"": 100.0, ""H0_min"": 40.0, ""H0_n"": 121, ""det_model"": null, ""event_min_finite_frac"": 0.0, ""event_qc_mode"": ""skip"", ""include_pdet_in_event_term"": false, ""method"": ""gr_h0_grid_hierarchical_pe"", ""n_events"": 33, ""n_events_skipped"": 0, ""omega_k0"": 0.0, ""omega_m0"": 0.31, ""pop_z_include_h0_volume_scaling"": false, ""population"": {""pop_m1_alpha"": 2.3, ""pop_m_max"": 80.0, ""pop_m_min"": 5.0, ""pop_m_peak"": 35.0, ""pop_m_peak_frac"": 0.1, ""pop_m_peak_sigma"": 5.0, ""pop_m_taper_delta"": 3.0, ""pop_mass_mode"": ""powerlaw_peak_q_smooth"", ""pop_q_beta"": 0.0, ""pop_z_k"": 0.0, ""pop_z_mode"": ""comoving_uniform""}, ""prior"": ""uniform"", ""selection_ifar_threshold_yr"": 1.0, ""selection_mode"": ""off"", ""weight_mode"": null, ""z_max"": 2.0}"
20260202_230310UTC,2026-02-02T23:03:10+00:00,outputs/gate2_calibration_combo_20260202_225949UTC/gate2_real_pop,outputs/gate2_calibration_combo_20260202_225949UTC/gate2_real_pop/json/gr_h0_selection_on_inv_sampling_pdf.json,outputs/gate2_calibration_combo_20260202_225949UTC/gate2_real_pop/json/manifest.json,on,inv_sampling_pdf,snr_binned,0.31,0.0,2.0,40.0,100.0,121,0.5,33,0,True,56.5,False,49.149099990630454,59.56267132911808,82.69142785638239,64.0339622370212,15.851590114031442,comoving_uniform,0.0,powerlaw_peak_q_smooth,2.3,5.0,80.0,0.0,3.0,35.0,5.0,0.1,False,False,False,,,skip,0.0,"{""H0_max"": 100.0, ""H0_min"": 40.0, ""H0_n"": 121, ""det_model"": ""snr_binned"", ""event_min_finite_frac"": 0.0, ""event_qc_mode"": ""skip"", ""include_pdet_in_event_term"": false, ""method"": ""gr_h0_grid_hierarchical_pe"", ""n_events"": 33, ""n_events_skipped"": 0, ""omega_k0"": 0.0, ""omega_m0"": 0.31, ""pop_z_include_h0_volume_scaling"": false, ""population"": {""pop_m1_alpha"": 2.3, ""pop_m_max"": 80.0, ""pop_m_min"": 5.0, ""pop_m_peak"": 35.0, ""pop_m_peak_frac"": 0.1, ""pop_m_peak_sigma"": 5.0, ""pop_m_taper_delta"": 3.0, ""pop_mass_mode"": ""powerlaw_peak_q_smooth"", ""pop_q_beta"": 0.0, ""pop_z_k"": 0.0, ""pop_z_mode"": ""comoving_uniform""}, ""prior"": ""uniform"", ""selection_alpha"": {""det_model"": ""snr_binned"", ""inj_mass_pdf_coords"": ""m1m2"", ""method"": ""o3a_injections_snr_rescale_gr_h0_grid"", ""n_injections_used"": 512308, ""pop_m1_alpha"": 2.3, ""pop_m_max"": 80.0, ""pop_m_min"": 5.0, ""pop_m_peak"": 35.0, ""pop_m_peak_frac"": 0.1, ""pop_m_peak_sigma"": 5.0, ""pop_m_taper_delta"": 3.0, ""pop_mass_mode"": ""powerlaw_peak_q_smooth"", ""pop_q_beta"": 0.0, ""pop_z_k"": 0.0, ""pop_z_mode"": ""comoving_uniform"", ""snr_binned_nbins"": 200, ""snr_threshold"": null, ""weight_mode"": ""inv_sampling_pdf"", ""z_max"": 2.0}, ""selection_ifar_threshold_yr"": 1.0, ""selection_mode"": ""on"", ""weight_mode"": ""inv_sampling_pdf"", ""z_max"": 2.0}"
20260202_230310UTC,2026-02-02T23:03:10+00:00,outputs/gate2_calibration_combo_20260202_225949UTC/gate2_real_pop,outputs/gate2_calibration_combo_20260202_225949UTC/gate2_real_pop/json/gr_h0_selection_on_none.json,outputs/gate2_calibration_combo_20260202_225949UTC/gate2_real_pop/json/manifest.json,on,none,snr_binned,0.31,0.0,2.0,40.0,100.0,121,0.5,33,0,False,40.0,True,40.0,40.10635708259234,41.07037942693998,40.62663965480707,0.8539129300297092,comoving_uniform,0.0,powerlaw_peak_q_smooth,2.3,5.0,80.0,0.0,3.0,35.0,5.0,0.1,False,False,False,,,skip,0.0,"{""H0_max"": 100.0, ""H0_min"": 40.0, ""H0_n"": 121, ""det_model"": ""snr_binned"", ""event_min_finite_frac"": 0.0, ""event_qc_mode"": ""skip"", ""include_pdet_in_event_term"": false, ""method"": ""gr_h0_grid_hierarchical_pe"", ""n_events"": 33, ""n_events_skipped"": 0, ""omega_k0"": 0.0, ""omega_m0"": 0.31, ""pop_z_include_h0_volume_scaling"": false, ""population"": {""pop_m1_alpha"": 2.3, ""pop_m_max"": 80.0, ""pop_m_min"": 5.0, ""pop_m_peak"": 35.0, ""pop_m_peak_frac"": 0.1, ""pop_m_peak_sigma"": 5.0, ""pop_m_taper_delta"": 3.0, ""pop_mass_mode"": ""powerlaw_peak_q_smooth"", ""pop_q_beta"": 0.0, ""pop_z_k"": 0.0, ""pop_z_mode"": ""comoving_uniform""}, ""prior"": ""uniform"", ""selection_alpha"": {""det_model"": ""snr_binned"", ""inj_mass_pdf_coords"": ""m1m2"", ""method"": ""o3a_injections_snr_rescale_gr_h0_grid"", ""n_injections_used"": 512308, ""pop_m1_alpha"": 2.3, ""pop_m_max"": 80.0, ""pop_m_min"": 5.0, ""pop_m_peak"": 35.0, ""pop_m_peak_frac"": 0.1, ""pop_m_peak_sigma"": 5.0, ""pop_m_taper_delta"": 3.0, ""pop_mass_mode"": ""powerlaw_peak_q_smooth"", ""pop_q_beta"": 0.0, ""pop_z_k"": 0.0, ""pop_z_mode"": ""comoving_uniform"", ""snr_binned_nbins"": 200, ""snr_threshold"": null, ""weight_mode"": ""none"", ""z_max"": 2.0}, ""selection_ifar_threshold_yr"": 1.0, ""selection_mode"": ""on"", ""weight_mode"": ""none"", ""z_max"": 2.0}"
20260203_082434UTC,2026-02-03T08:24:34+00:00,outputs/gate2_popmarg_realdata_20260203_082434UTC/zmax0.62,outputs/gate2_popmarg_realdata_20260203_082434UTC/zmax0.62/json/gr_h0_selection_on_z_comoving_uniform__powerlaw_peak_q_smooth.json,,on,inv_sampling_pdf,snr_mchirp_binned,0.31,0.0,0.62,40.0,200.0,161,1.0,33,0,True,150.0,False,136.76219457732878,151.2982302898544,168.33754376947036,152.69624681120746,15.626180070629534,comoving_uniform,0.0,powerlaw_peak_q_smooth,2.3,5.0,80.0,0.0,3.0,35.0,5.0,0.1,False,False,False,none,,skip,0.0,"{""H0_max"": 200.0, ""H0_min"": 40.0, ""H0_n"": 161, ""det_model"": ""snr_mchirp_binned"", ""event_min_finite_frac"": 0.0, ""event_qc_mode"": ""skip"", ""importance_smoothing"": ""none"", ""importance_truncate_tau"": null, ""include_pdet_in_event_term"": false, ""inj_mass_pdf_coords"": ""m1m2"", ""method"": ""gr_h0_grid_hierarchical_pe"", ""n_events"": 33, ""n_events_skipped"": 0, ""omega_k0"": 0.0, ""omega_m0"": 0.31, ""pop_z_include_h0_volume_scaling"": false, ""population"": {""pop_m1_alpha"": 2.3, ""pop_m_max"": 80.0, ""pop_m_min"": 5.0, ""pop_m_peak"": 35.0, ""pop_m_peak_frac"": 0.1, ""pop_m_peak_sigma"": 5.0, ""pop_m_taper_delta"": 3.0, ""pop_mass_mode"": ""powerlaw_peak_q_smooth"", ""pop_q_beta"": 0.0, ""pop_z_k"": 0.0, ""pop_z_mode"": ""comoving_uniform""}, ""prior"": ""uniform"", ""selection_alpha"": {""det_model"": ""snr_mchirp_binned"", ""inj_mass_pdf_coords"": ""m1m2"", ""mchirp_binned_nbins"": 20, ""method"": ""o3a_injections_snr_rescale_gr_h0_grid"", ""n_injections_used"": 415992, ""pop_m1_alpha"": 2.3, ""pop_m_max"": 80.0, ""pop_m_min"": 5.0, ""pop_m_peak"": 35.0, ""pop_m_peak_frac"": 0.1, ""pop_m_peak_sigma"": 5.0, ""pop_m_taper_delta"": 3.0, ""pop_mass_mode"": ""powerlaw_peak_q_smooth"", ""pop_q_beta"": 0.0, ""pop_z_k"": 0.0, ""pop_z_mode"": ""comoving_uniform"", ""snr_binned_nbins"": 200, ""snr_threshold"": null, ""weight_mode"": ""inv_sampling_pdf"", ""z_max"": 0.62}, ""selection_ifar_threshold_yr"": 1.0, ""selection_include_h0_volume_scaling"": false, ""selection_mode"": ""on"", ""weight_mode"": ""inv_sampling_pdf"", ""z_max"": 0.62}"
20260203_082434UTC,2026-02-03T08:24:34+00:00,outputs/gate2_popmarg_realdata_20260203_082434UTC/zmax0.62,outputs/gate2_popmarg_realdata_20260203_082434UTC/zmax0.62/json/gr_h0_selection_on_z_comoving_uniform__powerlaw_q_smooth.json,,on,inv_sampling_pdf,snr_mchirp_binned,0.31,0.0,0.62,40.0,200.0,161,1.0,33,0,True,174.0,False,154.05694858486783,170.57886254956665,184.61682103858317,169.93187245148044,14.866147186598353,comoving_uniform,0.0,powerlaw_q_smooth,2.3,5.0,80.0,0.0,3.0,35.0,5.0,0.1,False,False,False,none,,skip,0.0,"{""H0_max"": 200.0, ""H0_min"": 40.0, ""H0_n"": 161, ""det_model"": ""snr_mchirp_binned"", ""event_min_finite_frac"": 0.0, ""event_qc_mode"": ""skip"", ""importance_smoothing"": ""none"", ""importance_truncate_tau"": null, ""include_pdet_in_event_term"": false, ""inj_mass_pdf_coords"": ""m1m2"", ""method"": ""gr_h0_grid_hierarchical_pe"", ""n_events"": 33, ""n_events_skipped"": 0, ""omega_k0"": 0.0, ""omega_m0"": 0.31, ""pop_z_include_h0_volume_scaling"": false, ""population"": {""pop_m1_alpha"": 2.3, ""pop_m_max"": 80.0, ""pop_m_min"": 5.0, ""pop_m_peak"": 35.0, ""pop_m_peak_frac"": 0.1, ""pop_m_peak_sigma"": 5.0, ""pop_m_taper_delta"": 3.0, ""pop_mass_mode"": ""powerlaw_q_smooth"", ""pop_q_beta"": 0.0, ""pop_z_k"": 0.0, ""pop_z_mode"": ""comoving_uniform""}, ""prior"": ""uniform"", ""selection_alpha"": {""det_model"": ""snr_mchirp_binned"", ""inj_mass_pdf_coords"": ""m1m2"", ""mchirp_binned_nbins"": 20, ""method"": ""o3a_injections_snr_rescale_gr_h0_grid"", ""n_injections_used"": 378796, ""pop_m1_alpha"": 2.3, ""pop_m_max"": 80.0, ""pop_m_min"": 5.0, ""pop_m_peak"": 35.0, ""pop_m_peak_frac"": 0.1, ""pop_m_peak_sigma"": 5.0, ""pop_m_taper_delta"": 3.0, ""pop_mass_mode"": ""powerlaw_q_smooth"", ""pop_q_beta"": 0.0, ""pop_z_k"": 0.0, ""pop_z_mode"": ""comoving_uniform"", ""snr_binned_nbins"": 200, ""snr_threshold"": null, ""weight_mode"": ""inv_sampling_pdf"", ""z_max"": 0.62}, ""selection_ifar_threshold_yr"": 1.0, ""selection_include_h0_volume_scaling"": false, ""selection_mode"": ""on"", ""weight_mode"": ""inv_sampling_pdf"", ""z_max"": 0.62}"
